symbol,tradetime,open,high,low,close,volume
TSLA,2016-10-12 15:36:00,200.06,200.23,200.06,200.15,4383
TSLA,2016-10-12 15:38:00,199.88,200.1599,199.88,200.001,2576
TSLA,2016-10-12 15:40:00,200.0344,200.04,199.85,199.91,4020
TSLA,2016-10-12 15:42:00,199.85,200.06,199.85,200.06,3834
TSLA,2016-10-12 15:44:00,199.765,200,199.71,199.86,13343
TSLA,2016-10-12 15:46:00,200.069,200.26,199.775,199.8075,12775
TSLA,2016-10-12 15:48:00,199.735,200,199.735,200,3346
TSLA,2016-10-12 15:50:00,199.281,199.77,199.21,199.73,32118
TSLA,2016-10-12 15:52:00,199.3099,199.52,199.28,199.4425,3800
TSLA,2016-10-12 15:54:00,199.55,199.63,199.2447,199.2447,5069
TSLA,2016-10-12 15:56:00,199.8632,199.89,199.5947,199.5947,1830
TSLA,2016-10-12 15:58:00,199.93,199.94,199.75,199.9,6126
TSLA,2016-10-12 16:00:00,199.975,200.02,199.92,199.92,2300
TSLA,2016-10-12 16:02:00,199.82,199.9155,199.82,199.88,700
TSLA,2016-10-12 16:04:00,199.7,199.9111,199.7,199.82,4986
TSLA,2016-10-12 16:06:00,199.83,199.94,199.726,199.726,3800
TSLA,2016-10-12 16:08:00,199.6348,199.9399,199.6348,199.9399,1288
TSLA,2016-10-12 16:10:00,199.8,199.88,199.7,199.7772,5371
TSLA,2016-10-12 16:12:00,199.7,199.84,199.7,199.84,2523
TSLA,2016-10-12 16:14:00,199.84,199.84,199.65,199.6992,3700
TSLA,2016-10-12 16:16:00,199.85,200.089,199.85,199.9,3400
TSLA,2016-10-12 16:18:00,200.0701,200.303,199.92,199.92,4095
