symbol | tradetime           | close    | high     | low      | open     | volume
GOOG | 2016-10-12 18:06:00 |    782.6 |  782.859 |    782.6 |   782.62 |   1050
GOOG | 2016-10-12 18:08:00 |   782.24 |   782.97 |   782.24 |   782.96 |   4400
GOOG | 2016-10-12 18:10:00 |    782.9 |   783.35 |    782.9 |   783.18 |   4062
GOOG | 2016-10-12 18:12:00 |    782.6 |   783.36 |    782.6 |    782.6 |   4431
GOOG | 2016-10-12 18:14:00 |   782.45 | 782.5835 |   782.45 |   782.58 |    500
GOOG | 2016-10-12 18:16:00 |   782.16 |   782.94 |   782.16 | 782.3798 |   1932
GOOG | 2016-10-12 18:18:00 |   781.51 |   782.17 |   781.51 |   781.91 |  14226
GOOG | 2016-10-12 18:20:00 |   781.14 |   781.89 |   781.14 |  781.598 |   5184
GOOG | 2016-10-12 18:22:00 |   780.87 |   781.39 |   780.87 |   781.09 |   7779
GOOG | 2016-10-12 18:24:00 | 780.9901 |   781.47 | 780.9901 |   781.23 |   2054
GOOG | 2016-10-12 18:26:00 | 781.0401 |   782.08 | 781.0401 |   781.79 |   5100
GOOG | 2016-10-12 18:28:00 | 781.4238 |   781.57 | 781.4238 |   781.47 |    813
GOOG | 2016-10-12 18:30:00 |   780.99 | 781.3674 |   780.99 |   780.99 |   5200
GOOG | 2016-10-12 18:32:00 |   780.65 | 780.9899 |   780.65 |    780.7 |   9850
GOOG | 2016-10-12 18:34:00 |   780.58 |   781.24 |   780.58 | 781.1136 |   1630
GOOG | 2016-10-12 18:36:00 |   780.93 |   781.58 |   780.93 |   781.58 |   1800
GOOG | 2016-10-12 18:38:00 |    781.1 |   781.58 |    781.1 | 781.1188 |   1765
GOOG | 2016-10-12 18:40:00 |   780.68 |   781.13 |   780.68 |   780.98 |   1800
GOOG | 2016-10-12 18:42:00 |   781.23 | 781.5326 |   781.23 | 781.5196 |   1100
GOOG | 2016-10-12 18:44:00 |    781.5 | 781.8299 |    781.5 |   781.81 |   1450
GOOG | 2016-10-12 18:46:00 |   781.67 | 782.4208 |   781.67 | 782.3244 |   1720
GOOG | 2016-10-12 18:48:00 |   782.35 |   782.85 |   782.35 |   782.51 |   2400
GOOG | 2016-10-12 18:50:00 |   782.47 |   782.92 |   782.47 |   782.67 |   3400
GOOG | 2016-10-12 18:52:00 |   781.94 |   782.67 |   781.94 |   782.16 |   3700
GOOG | 2016-10-12 18:54:00 |    781.8 |   782.15 |    781.8 |   782.11 |   1600
GOOG | 2016-10-12 18:56:00 |   782.06 |   782.57 |   782.06 |   782.57 |   2300
GOOG | 2016-10-12 18:58:00 |   781.85 |   782.63 |   781.85 |    781.9 |   2900
GOOG | 2016-10-12 19:00:00 |   781.93 |   782.57 |   781.93 |   781.96 |   1667
GOOG | 2016-10-12 19:02:00 |    781.8 |   782.03 |    781.8 |   781.92 |   1722
GOOG | 2016-10-12 19:04:00 | 781.9245 |   782.22 | 781.9245 |   781.95 |   2500
GOOG | 2016-10-12 19:06:00 |   781.66 |   782.09 |   781.66 |   781.66 |   3300
GOOG | 2016-10-12 19:08:00 |   781.15 |    781.7 |   781.15 | 781.3389 |   4300
GOOG | 2016-10-12 19:10:00 |   781.57 |    782.5 |   781.57 |    782.5 |   4172
GOOG | 2016-10-12 19:12:00 |   782.04 |    782.5 |   782.04 |   782.04 |   3945
GOOG | 2016-10-12 19:14:00 |   782.02 |    782.6 |   782.02 |   782.39 |   1300
GOOG | 2016-10-12 19:16:00 |    781.7 |   782.56 |    781.7 |   781.97 |   3481
GOOG | 2016-10-12 19:18:00 |   781.85 |   782.18 |   781.85 |   781.85 |    895
GOOG | 2016-10-12 19:20:00 |  781.965 |   782.96 |  781.965 |   782.96 |   4502
GOOG | 2016-10-12 19:22:00 |   782.98 |   783.49 |   782.98 |   783.09 |   3200
GOOG | 2016-10-12 19:24:00 |   783.07 |    783.5 |   783.07 |   783.16 |   1800
